ENSG00000131018	ENSG00000198589
ENSG00000143157	ENSG00000231025
ENSG00000134824	ENSG00000256545
ENSG00000116473	ENSG00000145365
ENSG00000111554	ENSG00000204920
ENSG00000160271	ENSG00000149658
ENSG00000079999	ENSG00000115361
ENSG00000134042	ENSG00000180769
ENSG00000133226	ENSG00000143033
ENSG00000232352	ENSG00000197024
ENSG00000183960	ENSG00000132780
ENSG00000102595	ENSG00000183960
ENSG00000159167	ENSG00000121361
ENSG00000159658	ENSG00000250761
ENSG00000173905	ENSG00000171766
ENSG00000040633	ENSG00000231312
ENSG00000130312	ENSG00000171700
ENSG00000198355	ENSG00000254454
ENSG00000148700	ENSG00000116194
ENSG00000102981	ENSG00000178718
ENSG00000205730	ENSG00000196878
ENSG00000263990	ENSG00000188582
ENSG00000265168	ENSG00000165475
ENSG00000100823	ENSG00000181789
ENSG00000151692	ENSG00000175155
ENSG00000122756	ENSG00000136802
ENSG00000132603	ENSG00000105447
ENSG00000119636	ENSG00000112294
ENSG00000145284	ENSG00000156298
ENSG00000184557	ENSG00000047457
ENSG00000159788	ENSG00000135638
ENSG00000171150	ENSG00000109452
ENSG00000146834	ENSG00000198324
ENSG00000176058	ENSG00000173327
ENSG00000181852	ENSG00000181555
ENSG00000256193	ENSG00000156463
ENSG00000266820	ENSG00000240038
ENSG00000168884	ENSG00000108270
ENSG00000186834	ENSG00000102595
ENSG00000159335	ENSG00000070269
ENSG00000168710	ENSG00000113790
ENSG00000164414	ENSG00000152359
ENSG00000111961	ENSG00000176105
ENSG00000141150	ENSG00000197380
ENSG00000254418	ENSG00000255680
ENSG00000176428	ENSG00000109920
ENSG00000255835	ENSG00000181852
ENSG00000180182	ENSG00000256223
ENSG00000103404	ENSG00000260566
ENSG00000184481	ENSG00000227495
ENSG00000135999	ENSG00000019995
ENSG00000145451	ENSG00000180440
ENSG00000122756	ENSG00000056487
ENSG00000079435	ENSG00000180739
ENSG00000267385	ENSG00000124440
ENSG00000163596	ENSG00000139194
ENSG00000055917	ENSG00000178163
ENSG00000173120	ENSG00000143353
ENSG00000198743	ENSG00000188783
ENSG00000153944	ENSG00000213240
ENSG00000186660	ENSG00000257093
ENSG00000124762	ENSG00000086062
ENSG00000175426	ENSG00000101654
ENSG00000214176	ENSG00000224428
ENSG00000067182	ENSG00000143570
ENSG00000180263	ENSG00000147027
ENSG00000196981	ENSG00000164576
ENSG00000240038	ENSG00000109832
ENSG00000119699	ENSG00000258876
ENSG00000179058	ENSG00000168004
ENSG00000197555	ENSG00000048991
ENSG00000081189	ENSG00000156687
ENSG00000259288	ENSG00000119655
ENSG00000119844	ENSG00000198265
ENSG00000139433	ENSG00000259357
ENSG00000198952	ENSG00000176986
ENSG00000197905	ENSG00000250899
ENSG00000247077	ENSG00000168916
ENSG00000118162	ENSG00000228436
ENSG00000267328	ENSG00000141905
ENSG00000232104	ENSG00000259772
ENSG00000011422	ENSG00000161638
ENSG00000235423	ENSG00000132470
ENSG00000159335	ENSG00000163075
ENSG00000157833	ENSG00000145832
ENSG00000196136	ENSG00000026508
ENSG00000105122	ENSG00000162367
ENSG00000173805	ENSG00000152763
ENSG00000185651	ENSG00000167985
ENSG00000077150	ENSG00000130202
ENSG00000196730	ENSG00000197442
ENSG00000171791	ENSG00000120333
ENSG00000089006	ENSG00000110315
ENSG00000235423	ENSG00000183155
ENSG00000099783	ENSG00000108270
ENSG00000130055	ENSG00000161509
ENSG00000266964	ENSG00000265452
ENSG00000197603	ENSG00000261771
ENSG00000267952	ENSG00000186350
ENSG00000182054	ENSG00000158113
