alias_previous_symbol	index
ACS	188
Ptop	190
Pip1	190
Tpp1	190
Tint1	190
DCP1	191
ACE1	191
CD143	191
ASAH3	194
ASAH3L	195
FLJ41587	195
ALKCDase2	195
PHCA	197
FLJ11238	197
APHC	197
YT	198
ACINUS	199
KIAA0670	199
fSAP152	199
FY	200
DARC	200
CCBP1	200
GPD	200
Dfy	200
CD234	200
CMKBR9	201
CCBP2	201
CCR10	201
D6	201
CCR9	201
CMKOR1	202
CXCR7	202
RDC1	202
GPR159	202
CCRL1	203
CCR11	203
CCBP2	203
VSHK1	203
CCX-CKR	203
PPR1	203
CCRL1P	204
CCRL1P1	204
dJ509I19.4	204
ATPCL	205
CLATP	205
ACL	205
BAATP1	207
IREB1	208
IRP1	208
IREBP	208
ACONM	209
IRG1	210
CAD	210
ACH2	211
CTE-1	211
LACH2	211
Mte1	212
ZAP128	212
FLJ31235	213
PTE-Ib	213
PTE2B	213
C14orf42	214
BACH	215
ACH1	215
ACT	215
CTE-II	215
LACH1	215
MGC1126	215
hBACH	215
PTE1	216
hACTE-III	216
hTE	216
PTE-2	216
NAP1	216
CGI-16	217
MT-ACT48	217
ACATE2	217
THEA	218
STARD14	218
BFIT	218
KIAA0707	218
BFIT1	218
THEM1	218
Cach	219
THEAL	219
STARD15	219
THEM2	220
HT012	220
PALMCOX	221
BRCACOX	222
BRCOX	222
THCCox	222
FLJ11042	224
HAAP	226
LMW-PTP	226
LMWPTP	226
LAP	227
ACPP	228
ACP-3	228
PAP	228
TM-PAP	228
ACPT	229
TRAP	230
HPAP	230
LPAP	231
ACPL1	231
FLJ16165	232
PAPL1	232
PAPL	232
SP32	234
OY-TES-1	234
CT23	234
SPACA2	236
SP-10	236
D11S4365	236
BGM	237
FLJ30320	237
MGC14352	237
BG1	237
KIAA0631	237
hBG1	237
hsBG	237
BGR	238
PRTD-NY3	238
DKFZp434K1635	238
FLJ20920	239
ACSMW	239
FACL2	241
LACS2	241
LACS	241
ACS1	241
LACS1	241
FACL1	241
FACL3	242
ACS3	242
PRO2194	242
FACL4	244
MRX63	244
MRX68	244
ACS4	244
LACS4	244
FACL5	245
ACS5	245
ACS2	245
FACL6	246
KIAA0837	246
ACS2	246
LACS5	246
LACS2	246
BUCS1	248
MACS1	248
ACSM2	249
A-923A4.1	249
MGC150530	249
ACSM2	250
HXMA	250
HYST1046	250
SAH	251
SA	251
FLJ20581	253
C10orf129	255
bA310E22.3	255
ACAS2L	256
dJ568C11.3	256
AceCS2L	256
MGC33843	256
ACAS2	257
ACS	257
ACSA	257
AceCS	257
dJ1161H23.1	257
FLJ21963	258
ACTA	259
NEM3	259
ACTSA	260
uc001kfo.1	261
ZXF1	261
UC001kfo	261
DKFZp686D0972	263
ACTBP2	270
ACTGP5	274
ACTC	278
CMD1R	278
ACTG	280
DFNA20	280
DFNA26	280
